ID,CALLE,DISTRITO,CODIGOPOSTAL,COORDENADA-X,COORDENADA-Y
442060.72-4467316.2,"CALLE DEL URANIO, 9",VILLAVERDE,28021.0,442060.72,4467316.2
442067.0-4475042.0,"VELAZQUEZ, CALLE Nº8 ESQ. C/VILLANUEVA C/JOAQUIN COSTA",SALAMANCA,28001.0,442067.0,4475042.0
442070.57-4475139.28,"Calle  Nuñez de Balboa, 33 ",SALAMANCA,28001.0,442070.57,4475139.28
442070.7367-4477632.387,"CALLE SIL, 14",CHAMARTIN,28002.0,442070.7367,4477632.387
442071.875-4479537.5,"FRAY BERNARDINO SAHAGUN, CALLE Nº1 ESQ PZA MADRE MOLAS PZA MADRE MOLAS",CHAMARTIN,28036.0,442071.875,4479537.5
442072.92-4467081.1,"CALLE DE MIGUEL SOLAS, 9",VILLAVERDE,28021.0,442072.92,4467081.1
442077.82-4482126.41,"AVENIDA SALAS DE LOS INFANTES, 4",FUENCARRAL-EL PARDO,28034.0,442077.82,4482126.41
442081.2062-4475191.588,"CALLE NUÑEZ DE BALBOA, 35",SALAMANCA,28001.0,442081.2062,4475191.588
442082.5372-4476650.497,"CALLE VELAZQUEZ, 134",CHAMARTIN,28006.0,442082.5372,4476650.497
442082.9-4472391.3,"CALLE DE GARGANTA DE LOS MONTES, 4",ARGANZUELA,28045.0,442082.9,4472391.3
442083.3283-4475132.613,"CALLE NUÑEZ DE BALBOA, 33",SALAMANCA,28001.0,442083.3283,4475132.613
442084.0312-4479227.265,"CALLE FRAY BERNARDINO SAHAGUN, 3",CHAMARTIN,28036.0,442084.0312,4479227.265
442085.0-4467365.0,"EDUARDO MARISTANY, CALLE Nº0 FTE Nº 9 C/ VICENTE CARBALL",VILLAVERDE,28021.0,442085.0,4467365.0
442087.22-4482207.36,"AVENIDA SALAS DE LOS INFANTES, 8",FUENCARRAL-EL PARDO,28034.0,442087.22,4482207.36
442089.6563-4482181.5,"LLANO CASTELLANO, AV Nº13 ESQ C/ MANUEL TOVAR MOURICIO LEJENDRE",FUENCARRAL-EL PARDO,28034.0,442089.6563,4482181.5
442090.0-4476486.0,"DIEGO DE LEON, CALLE Nº13 - C/ SERRANO",SALAMANCA,28006.0,442090.0,4476486.0
442091.42-4483626.29,"CALLE ANTONIO DE CABEZON, 85",FUENCARRAL-EL PARDO,28036.0,442091.42,4483626.29
